,R²,RMSE,MAE,Samples,Is Forest
Barren or Sparsely Vegetated,0.864727795124054,1.51013100213714,0.9535848498344421,807,False
Woody Savannas,0.8486376404762268,2.116638788154815,1.1685903072357178,4035,True
Grasslands,0.844585120677948,5.247202354884037,1.922808051109314,3228,False
Savannas,0.8371012210845947,2.0996909050304238,1.2931172847747803,5649,False
Deciduous Broadleaf Forest,0.7620450258255005,1.471876509679842,0.830184817314148,6994,True
Unclassified,0.7517156600952148,0.8256191993295915,0.555748462677002,538,False
Evergreen Broadleaf Forest,0.7482792139053345,3.020310314984821,1.5530636310577393,8608,True
Open Shrublands,0.7211158275604248,1.7445045424730503,1.0767468214035034,1614,False
Mixed Forest,0.7162657380104065,1.6661983626792958,0.9934248328208923,4035,True
Evergreen Needleleaf Forest,0.688277542591095,2.5307111755305223,1.1388846635818481,6456,True
Croplands,0.6663247346878052,3.5846182862840243,1.8612149953842163,2152,False
Closed Shrublands,0.46781855821609497,7.543139937289072,5.199737548828125,269,False
