,R²,RMSE,MAE,Samples,Is Forest
Barren or Sparsely Vegetated,0.9356624484062195,1.0472857680014556,0.6690722107887268,807,False
Woody Savannas,0.8642145395278931,2.0008793328317482,1.0003894567489624,4035,True
Unclassified,0.8571021556854248,0.61092177953763,0.390645295381546,538,False
Savannas,0.8475227355957031,2.0257726914077545,1.1081904172897339,5649,False
Grasslands,0.8346039056777954,5.416488390214018,1.558965802192688,3228,False
Deciduous Broadleaf Forest,0.8316988945007324,1.2478140313807604,0.6900339722633362,6994,True
Evergreen Broadleaf Forest,0.7947166562080383,2.7402587367502247,1.306617259979248,8608,True
Open Shrublands,0.7674819827079773,1.595192873184331,0.8512429594993591,1614,False
Mixed Forest,0.758298397064209,1.5590951825216546,0.8064494132995605,4035,True
Croplands,0.7430908679962158,3.1619822504268047,1.434808373451233,2152,False
Evergreen Needleleaf Forest,0.7155600786209106,2.4148456574712927,0.9347857236862183,6456,True
Closed Shrublands,0.3968883752822876,7.319170395580432,5.554757595062256,269,False
