,R²,RMSE,MAE,Samples,Is Forest
Barren or Sparsely Vegetated,0.9240212853671705,1.1380961687071658,0.7497616666109824,807,False
Grasslands,0.8892567071390941,4.432144349225926,1.5291365766710607,3228,False
Woody Savannas,0.88137893581947,1.8701445276915234,0.9410878647575155,4035,True
Unclassified,0.8799639702965261,0.5599233448547444,0.3799671623657676,538,False
Savannas,0.8774569011156141,1.8160698620179723,0.9752023874043088,5649,False
Evergreen Broadleaf Forest,0.8303756965327529,2.490914240139299,1.1716708162797502,8608,True
Deciduous Broadleaf Forest,0.8184968914684737,1.2958311602351056,0.6689008798790461,6994,True
Mixed Forest,0.813166059238217,1.3707578070153494,0.6711663458358575,4035,True
Open Shrublands,0.7995785427379918,1.481006668326955,0.7759919317111369,1614,False
Croplands,0.774171488127095,2.9645516596371557,1.371423464269634,2152,False
Closed Shrublands,0.7634712439505589,4.5835816601408,3.1215051797503706,269,False
Evergreen Needleleaf Forest,0.665206666559093,2.6198865542620617,0.981809582385687,6456,True
